,Pengeluaran,2018,2019,2020,2021
0,Padi-padian,5.74,5.4,5.2,5.35
1,Umbi-umbian,0.31,0.34,0.35,0.44
2,"Ikan,udang,cumi,kerang",2.29,2.33,2.27,2.51
3,Daging,1.83,1.89,1.84,2.16
4,Telur dan susu,2.88,2.86,2.94,2.84
5,Sayur-sayuran,3.55,3.32,3.72,4.51
6,Kacang-kacangan,1.35,1.31,1.26,1.42
7,Buah-buahan,2.87,2.75,2.47,2.3
8,Minyak dan kelapa,1.29,1.22,1.21,1.4
9,Bahan minuman,1.8,1.75,1.79,1.89
10,Bumbu-bumbuan,1.04,1.03,1.02,1.2
11,Konsumsi lainnya,0.98,0.94,0.9,1.05
12,Makanan dan minuman jadi,17.78,18.24,17.83,16.4
13,Rokok,5.39,5.72,5.91,6.03
14,Perumahan dan fasilitas rumah tangga,22.61,22.4,22.81,23.83
15,Aneka komoditas dan jasa,13.38,13.33,13.39,13.06
16,"Pakaian, alas kaki, dan tutup kepala",2.71,2.85,2.86,2.34
17,Komoditas tahan lama,6.86,6.77,6.3,5.8
18,"Pajak, pungutan, dan asuransi",2.93,3.06,3.67,4.07
19,"Keperluan pesta dan upacara,kenduri",2.39,2.51,2.25,1.41
