Kabupaten / Kota,Kuda,,,Sapi Potong,,,Sapi Perah,,,Kerbau,,,Kambing,,,Domba,,,Babi,,,Kelinci,,
Tahun,2019,2020,2021,2019,2020,2021,2019,2020,2021,2019,2020,2021,2019,2020,2021,2019,2020,2021,2019,2020,2021,2019,2020,2021
PROVINSI JAWA TENGAH,9124,9273,7577,1826885,1835717,1863327,141395,141395,142124,58961,58963,61006,3709310,3725473,3785913,2324675,2325008,2325820,102175,102249,99560,337344,339142,320620
Kabupaten Cilacap,257,257,226,13364,13364,17893,31,31,12,1360,1360,1826,149266,149266,169519,36399,36399,31516,1372,1372,994,12165,12165,12210
Kabupaten Banyumas,87,87,88,15253,15253,15406,2427,2427,2451,1334,1334,1347,175835,175835,177593,17269,17269,17442,3340,3340,3373,19404,19404,19598
Kabupaten Purbalingga,71,71,72,12448,12448,12572,70,70,71,916,916,925,259271,259271,264456,25858,25858,26246,1359,1359,1373,6610,6610,6709
Kabupaten Banjarnegara,76,76,77,29049,29049,29339,391,391,395,489,489,494,197169,197169,199141,68402,68402,69086,264,264,267,21343,21343,21556
Kabupaten Kebumen,258,406,420,60187,69019,71000,-,-,-,352,352,360,69335,85239,88000,16805,17070,17600,720,794,820,7557,9355,9600
Kabupaten Purworejo,255,255,257,22302,22302,22525,26,26,26,1123,1123,1134,256302,256302,263991,51950,51950,53509,1147,1147,1181,11189,11189,11525
Kabupaten Wonosobo,293,293,196,21380,21380,21609,1297,1297,1504,1107,1107,869,192916,192916,199372,106651,106651,108086,377,377,138,54832,54832,50821
Kabupaten Magelang,378,378,378,78703,78703,78753,2450,2450,2455,5811,5811,5811,84816,84816,84831,87049,87049,87136,363,363,365,25696,25696,25825
Kabupaten Boyolali,387,387,350,106765,106765,106000,94143,94143,94000,870,870,750,103639,103639,100000,56079,56079,53000,6789,6789,6550,9628,9628,9000
Kabupaten Klaten,228,228,235,104352,104352,105500,6847,6847,7200,622,622,630,105782,105782,108500,47562,47562,50000,1268,1268,1100,6639,6639,7000
Kabupaten Sukoharjo,245,245,210,30461,30461,29800,-,-,-,603,605,600,49955,50125,49000,46548,46616,46100,16412,16412,13200,945,945,-
Kabupaten Wonogiri,10,10,10,168299,168299,170365,13,13,30,21,21,25,385018,385018,416818,135429,135429,138865,11145,11145,10000,9135,9135,8000
Kabupaten Karanganyar,146,146,148,66293,66293,66447,260,260,265,97,97,98,28388,28388,28671,118535,118535,119720,26959,26959,27229,13424,13424,13558
Kabupaten Sragen,29,29,30,97830,97830,98500,10,10,11,305,305,320,78814,78814,82755,80111,80111,84117,3923,3923,4119,2382,2382,2501
Kabupaten Grobogan,237,237,237,198158,198158,201082,171,171,171,1780,1780,2767,147147,147147,132612,32396,32396,20560,351,351,351,12304,12304,12304
Kabupaten Blora,77,77,77,267193,267193,278397,28,28,28,1850,1850,1950,143622,143622,146189,19284,19284,19680,17,17,17,9015,9015,9315
Kabupaten Rembang,3123,3123,2000,137001,137001,138988,-,-,-,193,193,193,166534,166534,163772,162883,162882,160647,-,-,-,5112,5112,5036
Kabupaten Pati,41,41,68,116978,116978,117538,209,209,165,2498,2498,2340,233487,233487,221936,27360,27360,26145,352,352,362,19470,19470,18461
Kabupaten Kudus,58,59,65,8746,8746,8802,185,185,190,1778,1778,1800,25651,25651,25800,13153,13153,13200,-,-,-,2471,2471,2500
Kabupaten Jepara,109,109,110,53302,53302,53835,36,36,36,2667,2667,2694,64112,64112,64753,26987,26987,27257,372,372,376,2775,2775,2803
Kabupaten Demak,361,361,-,5944,5944,5262,5,5,-,2509,2509,3170,49761,49761,50436,76964,76964,76820,-,-,-,1615,1615,1620
Kabupaten Semarang,562,562,562,48749,48749,48783,25963,25963,25989,2625,2625,2627,117400,117400,117452,167728,167728,167788,15636,15636,19500,10236,10236,-
Kabupaten Temanggung,466,466,466,40564,40564,41164,335,335,340,1537,1537,1547,87668,87668,88168,405056,405056,406556,145,145,145,10049,10049,10099
Kabupaten Kendal,370,370,300,22258,22258,21106,6,6,-,1460,1460,1500,43857,43857,38696,30002,30002,31354,-,-,-,10517,10517,8000
Kabupaten Batang,84,84,92,22648,22648,23000,96,96,100,1309,1309,1400,81728,81728,89500,32042,32043,32000,5891,5891,5900,13935,13935,14500
Kabupaten Pekalongan,124,124,124,22650,22650,22682,178,178,181,2904,2904,2886,51112,51112,51247,31445,31445,31433,-,-,-,5334,5334,5353
Kabupaten Pemalang,112,112,110,9747,9747,9747,-,-,-,8265,8265,8251,172839,172928,171610,41293,41293,40780,3756,3756,2000,7452,7452,7360
Kabupaten Tegal,322,322,322,11671,11671,11765,163,163,170,4123,4123,4150,64937,64937,65455,186453,186453,187940,-,-,-,18512,18512,18590
Kabupaten Brebes,207,207,193,28211,28211,28635,-,-,-,7293,7293,7365,106152,106152,108805,168203,168203,172408,-,-,-,3879,3879,3917
Kota Magelang,8,8,8,193,193,190,53,53,53,57,57,50,234,234,234,728,728,728,217,217,200,775,775,775
Kota Surakarta,7,7,10,487,487,590,17,17,20,13,13,35,237,237,200,176,176,200,-,-,-,869,869,-
Kota Salatiga,52,52,52,1345,1345,1355,3640,3640,3650,66,66,68,3350,3350,3360,866,866,875,-,-,-,914,914,920
Kota Semarang,84,84,84,4039,4039,4372,2072,2072,2324,985,985,985,7800,7800,7800,3116,3116,3116,-,-,-,986,986,986
Kota Pekalongan,-,-,-,286,286,295,273,273,287,39,39,39,2310,2310,2370,1200,1200,1212,-,-,-,95,95,97
Kota Tegal,-,-,-,29,29,30,-,-,-,-,-,-,2866,2866,2871,2693,2693,2698,-,-,-,80,80,81
,,,,,,,,,,,,,,,,,,,,,,,,
Sumber: Dinas Peternakan dan Kesehatan Hewan Provinsi Jawa Tengah,,,,,,,,,,,,,,,,,,,,,,,,
Source Url: https://jateng.bps.go.id/indicator/24/75/1/populasi-ternak.html,,,,,,,,,,,,,,,,,,,,,,,,
"Access Time: June 24, 2022, 6:01 pm",,,,,,,,,,,,,,,,,,,,,,,,
